"ID","Name","Position","League","type","positionGroup"
541645,"Avisaíl García","OF",NA,FALSE,"Outfield"
452239,"Justin Maxwell","OF",NA,FALSE,"Outfield"
460077,"Drew Butera","C",NA,FALSE,"Infield"
491159,"Joe Thatcher","P",NA,FALSE,"Pitcher"
500903,"Brayan Villarreal","P",NA,FALSE,"Pitcher"
578428,"Jose Iglesias","SS",NA,FALSE,"Infield"
408241,"Jake Peavy","P",NA,FALSE,"Pitcher"
453178,"Ian Kennedy","P",NA,FALSE,"Pitcher"
425567,"Alex Rios","OF",NA,FALSE,"Outfield"
425206,"Jamey Carroll","2B/3B",NA,FALSE,"Utility"
450641,"Quintin Berry","OF",NA,FALSE,"Outfield"
430585,"Jason Kubel","DH/OF",NA,FALSE,"Utility"
446099,"John Axford","P",NA,FALSE,"Pitcher"
408047,"Justin Morneau","1B",NA,FALSE,"Infield"
502100,"Alex Presley","OF",NA,FALSE,"Outfield"
431166,"Matt Pagnozzi","C",NA,FALSE,"Infield"
543008,"Alex Castellanos","OF",NA,FALSE,"Outfield"
435079,"Ian Kinsler","2B",NA,FALSE,"Infield"
425902,"Prince Fielder","1B",NA,FALSE,"Infield"
501896,"David Freese","3B",NA,FALSE,"Infield"
477569,"Fernando Salas","P",NA,FALSE,"Pitcher"
488721,"Peter Bourjos","OF",NA,FALSE,"Outfield"
472551,"Fernando Abad","P",NA,FALSE,"Pitcher"
571945,"Miles Mikolas","P",NA,FALSE,"Pitcher"
542960,"Brad Brach","P",NA,FALSE,"Pitcher"
543459,"Steve Lombardozzi Jr.","2B/OF",NA,FALSE,"Utility"
452672,"Ryan Hanigan","C",NA,FALSE,"Infield"
451594,"Dexter Fowler","OF",NA,FALSE,"Outfield"
456124,"Erik Kratz","C",NA,FALSE,"Infield"
488681,"Brandon Barnes","OF",NA,FALSE,"Outfield"
543475,"Jordan Lyles","P",NA,FALSE,"Pitcher"
457789,"Jemile Weeks","2B",NA,FALSE,"Infield"
